
Table 1 : anger N =    941 Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 | BCaLow    MeanDiff  BCaHigh
Without_FC    Without_CNN   0.773  0.757  0.961  | [ 0.0058   0.0166   0.0282]  
Without_FC    Without_CNN   0.769  0.756  0.960  | [ 0.0020   0.0130   0.0240]  
Without_FC    Without_CNN   0.769  0.756  0.962  | [ 0.0018   0.0123   0.0231]  
Without_FC    Without_CNN   0.767  0.755  0.959  | [ 0.0008   0.0118   0.0231]  
Without_FC    Without_CNN   0.770  0.753  0.956  | [ 0.0045   0.0160   0.0276]  
Without_FC    Without_CNN   0.770  0.757  0.958  | [ 0.0016   0.0128   0.0242]  
Without_FC    Without_CNN   0.766  0.748  0.959  | [ 0.0051   0.0180   0.0303]  
Without_FC    Without_CNN   0.772  0.757  0.961  | [ 0.0049   0.0156   0.0264]  
Without_FC    Without_CNN   0.769  0.757  0.959  | [-0.0006   0.0116   0.0230]  
Without_FC    Without_CNN   0.766  0.754  0.959  | [ 0.0010   0.0121   0.0235]  
Without_FC    Without_LE    0.770  0.695  0.909  | [ 0.0560   0.0759   0.0974]  
Without_FC    Without_LE    0.765  0.691  0.901  | [ 0.0541   0.0740   0.0962]  
Without_FC    Without_LE    0.771  0.694  0.904  | [ 0.0570   0.0768   0.0997]  
Without_FC    Without_LE    0.769  0.698  0.913  | [ 0.0522   0.0710   0.0928]  
Without_FC    Without_LE    0.773  0.697  0.911  | [ 0.0563   0.0756   0.0975]  
Without_FC    Without_LE    0.770  0.689  0.908  | [ 0.0623   0.0811   0.1023]  
Without_FC    Without_LE    0.767  0.687  0.899  | [ 0.0599   0.0809   0.1053]  
Without_FC    Without_LE    0.774  0.694  0.905  | [ 0.0614   0.0802   0.1009]  
Without_FC    Without_LE    0.769  0.701  0.909  | [ 0.0488   0.0677   0.0880]  
Without_FC    Without_LE    0.772  0.693  0.904  | [ 0.0598   0.0793   0.1009]  
Without_FC    Without_LE    0.773  0.700  0.904  | [ 0.0540   0.0733   0.0942]  
Without_FC    Without_LE    0.769  0.692  0.903  | [ 0.0587   0.0775   0.1001]  
Without_FC    Without_LE    0.769  0.698  0.911  | [ 0.0511   0.0707   0.0923]  
Without_FC    Without_LE    0.767  0.692  0.909  | [ 0.0548   0.0741   0.0953]  
Without_FC    Without_LE    0.770  0.697  0.910  | [ 0.0534   0.0729   0.0944]  
Without_FC    Without_LE    0.770  0.701  0.905  | [ 0.0488   0.0687   0.0905]  
Without_FC    Without_LE    0.766  0.699  0.908  | [ 0.0483   0.0672   0.0901]  
Without_FC    Without_LE    0.772  0.693  0.912  | [ 0.0596   0.0792   0.1000]  
Without_FC    Without_LE    0.769  0.700  0.908  | [ 0.0504   0.0689   0.0901]  
Without_FC    Without_LE    0.766  0.687  0.906  | [ 0.0591   0.0790   0.1028]  
Without_CNN   Without_LE    0.758  0.695  0.837  | [ 0.0388   0.0638   0.0901]  
Without_CNN   Without_LE    0.747  0.691  0.826  | [ 0.0318   0.0562   0.0820]  
Without_CNN   Without_LE    0.756  0.694  0.830  | [ 0.0372   0.0621   0.0884]  
Without_CNN   Without_LE    0.752  0.698  0.843  | [ 0.0301   0.0540   0.0791]  
Without_CNN   Without_LE    0.756  0.697  0.832  | [ 0.0337   0.0590   0.0856]  
Without_CNN   Without_LE    0.759  0.689  0.835  | [ 0.0451   0.0694   0.0951]  
Without_CNN   Without_LE    0.757  0.687  0.814  | [ 0.0447   0.0707   0.1022]  
Without_CNN   Without_LE    0.759  0.694  0.834  | [ 0.0409   0.0649   0.0894]  
Without_CNN   Without_LE    0.755  0.701  0.836  | [ 0.0303   0.0538   0.0789]  
Without_CNN   Without_LE    0.759  0.693  0.833  | [ 0.0427   0.0665   0.0920]  
Without_CNN   Without_LE    0.757  0.700  0.829  | [ 0.0321   0.0567   0.0822]  
Without_CNN   Without_LE    0.756  0.692  0.829  | [ 0.0398   0.0645   0.0907]  
