
Table 1 : anger N =    941 Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 | BCaLow    MeanDiff  BCaHigh
Without_FC    Without_CNN   0.801  0.789  0.963  | [ 0.0008   0.0119   0.0242]  
Without_FC    Without_CNN   0.800  0.794  0.963  | [-0.0048   0.0061   0.0188]  
Without_FC    Without_CNN   0.802  0.795  0.966  | [-0.0035   0.0067   0.0175]  
Without_FC    Without_CNN   0.802  0.791  0.968  | [ 0.0006   0.0109   0.0217]  
Without_FC    Without_CNN   0.800  0.791  0.965  | [-0.0016   0.0089   0.0205]  
Without_FC    Without_CNN   0.801  0.793  0.967  | [-0.0017   0.0085   0.0191]  
Without_FC    Without_CNN   0.802  0.791  0.962  | [-0.0004   0.0109   0.0224]  
Without_FC    Without_CNN   0.799  0.787  0.963  | [ 0.0012   0.0118   0.0235]  
Without_FC    Without_CNN   0.802  0.792  0.968  | [ 0.0004   0.0104   0.0209]  
Without_FC    Without_CNN   0.806  0.792  0.963  | [ 0.0039   0.0142   0.0253]  
Without_FC    Without_CNN   0.801  0.791  0.967  | [-0.0008   0.0097   0.0203]  
Without_FC    Without_CNN   0.804  0.795  0.968  | [-0.0006   0.0091   0.0194]  
Without_FC    Without_CNN   0.806  0.796  0.966  | [ 0.0004   0.0102   0.0203]  
Without_FC    Without_CNN   0.805  0.795  0.961  | [-0.0017   0.0098   0.0228]  
Without_FC    Without_CNN   0.799  0.781  0.965  | [ 0.0064   0.0174   0.0287]  
Without_FC    Without_CNN   0.803  0.792  0.966  | [ 0.0008   0.0113   0.0222]  
Without_FC    Without_CNN   0.803  0.794  0.966  | [-0.0015   0.0091   0.0211]  
Without_FC    Without_CNN   0.804  0.792  0.968  | [ 0.0022   0.0121   0.0230]  
Without_FC    Without_LE    0.796  0.704  0.890  | [ 0.0699   0.0920   0.1185]  
Without_FC    Without_LE    0.804  0.710  0.887  | [ 0.0705   0.0937   0.1226]  
Without_FC    Without_LE    0.801  0.715  0.893  | [ 0.0629   0.0854   0.1125]  
Without_FC    Without_LE    0.800  0.712  0.891  | [ 0.0661   0.0882   0.1169]  
Without_FC    Without_LE    0.802  0.715  0.896  | [ 0.0659   0.0872   0.1131]  
Without_FC    Without_LE    0.802  0.702  0.883  | [ 0.0748   0.0992   0.1301]  
Without_FC    Without_LE    0.800  0.713  0.895  | [ 0.0640   0.0868   0.1163]  
Without_FC    Without_LE    0.801  0.712  0.887  | [ 0.0664   0.0893   0.1168]  
Without_FC    Without_LE    0.802  0.704  0.888  | [ 0.0743   0.0983   0.1269]  
Without_FC    Without_LE    0.799  0.691  0.883  | [ 0.0832   0.1083   0.1397]  
Without_FC    Without_LE    0.802  0.713  0.891  | [ 0.0672   0.0895   0.1179]  
Without_FC    Without_LE    0.806  0.710  0.893  | [ 0.0732   0.0962   0.1230]  
Without_FC    Without_LE    0.801  0.710  0.893  | [ 0.0684   0.0908   0.1190]  
Without_FC    Without_LE    0.804  0.720  0.895  | [ 0.0622   0.0841   0.1102]  
Without_FC    Without_LE    0.806  0.705  0.887  | [ 0.0768   0.1004   0.1292]  
Without_FC    Without_LE    0.805  0.711  0.885  | [ 0.0709   0.0938   0.1221]  
Without_FC    Without_LE    0.799  0.712  0.893  | [ 0.0639   0.0868   0.1136]  
Without_FC    Without_LE    0.803  0.708  0.887  | [ 0.0725   0.0953   0.1236]  
Without_FC    Without_LE    0.803  0.715  0.894  | [ 0.0656   0.0879   0.1145]  
Without_FC    Without_LE    0.804  0.707  0.890  | [ 0.0731   0.0964   0.1251]  
Without_CNN   Without_LE    0.789  0.704  0.819  | [ 0.0565   0.0848   0.1160]  
Without_CNN   Without_LE    0.787  0.710  0.811  | [ 0.0477   0.0766   0.1100]  
Without_CNN   Without_LE    0.789  0.715  0.816  | [ 0.0453   0.0735   0.1050]  
Without_CNN   Without_LE    0.794  0.712  0.817  | [ 0.0543   0.0820   0.1145]  
Without_CNN   Without_LE    0.795  0.715  0.825  | [ 0.0550   0.0805   0.1109]  
Without_CNN   Without_LE    0.791  0.702  0.809  | [ 0.0578   0.0883   0.1231]  
Without_CNN   Without_LE    0.791  0.713  0.817  | [ 0.0504   0.0779   0.1129]  
Without_CNN   Without_LE    0.793  0.712  0.815  | [ 0.0537   0.0807   0.1132]  
Without_CNN   Without_LE    0.791  0.704  0.812  | [ 0.0578   0.0873   0.1195]  
Without_CNN   Without_LE    0.787  0.691  0.801  | [ 0.0659   0.0965   0.1330]  
Without_CNN   Without_LE    0.792  0.713  0.820  | [ 0.0515   0.0790   0.1120]  
Without_CNN   Without_LE    0.792  0.710  0.811  | [ 0.0540   0.0820   0.1139]  
Without_CNN   Without_LE    0.791  0.710  0.821  | [ 0.0534   0.0811   0.1145]  
Without_CNN   Without_LE    0.795  0.720  0.828  | [ 0.0490   0.0750   0.1041]  
Without_CNN   Without_LE    0.796  0.705  0.811  | [ 0.0629   0.0902   0.1231]  
Without_CNN   Without_LE    0.795  0.711  0.806  | [ 0.0554   0.0840   0.1160]  
Without_CNN   Without_LE    0.781  0.712  0.812  | [ 0.0419   0.0694   0.1013]  
Without_CNN   Without_LE    0.792  0.708  0.813  | [ 0.0562   0.0840   0.1170]  
Without_CNN   Without_LE    0.794  0.715  0.819  | [ 0.0514   0.0788   0.1102]  
Without_CNN   Without_LE    0.792  0.707  0.813  | [ 0.0556   0.0843   0.1185]  

Table 4 : sadness N =    860 Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 | BCaLow    MeanDiff  BCaHigh
Full_model    Without_FC    0.766  0.764  0.994  | [-0.0029   0.0025   0.0088]  
Full_model    Without_FC    0.762  0.759  0.993  | [-0.0027   0.0027   0.0084]  
Full_model    Without_FC    0.763  0.761  0.994  | [-0.0038   0.0016   0.0067]  
Full_model    Without_FC    0.764  0.765  0.994  | [-0.0060  -0.0013   0.0034]  
Full_model    Without_FC    0.762  0.767  0.992  | [-0.0100  -0.0044   0.0009]  
Full_model    Without_FC    0.771  0.768  0.994  | [-0.0024   0.0024   0.0076]  
Full_model    Without_FC    0.767  0.762  0.993  | [-0.0007   0.0052   0.0123]  
Full_model    Without_FC    0.772  0.766  0.994  | [ 0.0012   0.0059   0.0108]  
Full_model    Without_FC    0.763  0.765  0.994  | [-0.0076  -0.0021   0.0030]  
Full_model    Without_FC    0.765  0.764  0.993  | [-0.0052   0.0003   0.0059]  
Full_model    Without_FC    0.770  0.770  0.993  | [-0.0054   0.0000   0.0054]  
Full_model    Without_FC    0.766  0.763  0.993  | [-0.0024   0.0027   0.0081]  
Full_model    Without_FC    0.765  0.762  0.993  | [-0.0021   0.0033   0.0089]  
Full_model    Without_FC    0.760  0.757  0.993  | [-0.0022   0.0033   0.0085]  
Full_model    Without_FC    0.764  0.764  0.992  | [-0.0060   0.0002   0.0064]  
Full_model    Without_FC    0.760  0.760  0.994  | [-0.0049   0.0004   0.0055]  
Full_model    Without_FC    0.760  0.759  0.994  | [-0.0036   0.0017   0.0069]  
Full_model    Without_FC    0.764  0.763  0.993  | [-0.0034   0.0020   0.0076]  
Full_model    Without_FC    0.762  0.761  0.993  | [-0.0040   0.0019   0.0079]  
Full_model    Without_FC    0.768  0.768  0.993  | [-0.0040   0.0008   0.0061]  
Full_model    Without_CNN   0.766  0.726  0.948  | [ 0.0241   0.0405   0.0629]  
Full_model    Without_CNN   0.762  0.719  0.949  | [ 0.0277   0.0430   0.0653]  
Full_model    Without_CNN   0.763  0.717  0.949  | [ 0.0294   0.0455   0.0677]  
Full_model    Without_CNN   0.764  0.724  0.946  | [ 0.0240   0.0400   0.0595]  
Full_model    Without_CNN   0.762  0.711  0.942  | [ 0.0333   0.0510   0.0750]  
Full_model    Without_CNN   0.771  0.721  0.949  | [ 0.0330   0.0497   0.0714]  
Full_model    Without_CNN   0.767  0.717  0.949  | [ 0.0338   0.0503   0.0729]  
Full_model    Without_CNN   0.772  0.727  0.949  | [ 0.0284   0.0447   0.0654]  
Full_model    Without_CNN   0.763  0.720  0.948  | [ 0.0272   0.0436   0.0661]  
Full_model    Without_CNN   0.765  0.722  0.950  | [ 0.0261   0.0426   0.0629]  
Full_model    Without_CNN   0.770  0.735  0.954  | [ 0.0201   0.0350   0.0545]  
Full_model    Without_CNN   0.766  0.719  0.950  | [ 0.0307   0.0467   0.0676]  
Full_model    Without_CNN   0.765  0.715  0.956  | [ 0.0349   0.0503   0.0690]  
Full_model    Without_CNN   0.760  0.720  0.949  | [ 0.0245   0.0404   0.0624]  
Full_model    Without_CNN   0.764  0.725  0.948  | [ 0.0229   0.0389   0.0600]  
Full_model    Without_CNN   0.760  0.717  0.946  | [ 0.0267   0.0433   0.0644]  
Full_model    Without_CNN   0.760  0.718  0.952  | [ 0.0257   0.0426   0.0649]  
Full_model    Without_CNN   0.764  0.719  0.949  | [ 0.0286   0.0455   0.0667]  
Full_model    Without_CNN   0.762  0.721  0.947  | [ 0.0249   0.0413   0.0648]  
Full_model    Without_CNN   0.768  0.718  0.948  | [ 0.0338   0.0505   0.0719]  
Full_model    Without_LE    0.766  0.697  0.890  | [ 0.0441   0.0690   0.0948]  
Full_model    Without_LE    0.762  0.691  0.889  | [ 0.0470   0.0706   0.0976]  
Full_model    Without_LE    0.763  0.702  0.889  | [ 0.0374   0.0609   0.0887]  
Full_model    Without_LE    0.764  0.702  0.890  | [ 0.0376   0.0611   0.0872]  
Full_model    Without_LE    0.762  0.702  0.892  | [ 0.0364   0.0600   0.0848]  
Full_model    Without_LE    0.771  0.712  0.882  | [ 0.0369   0.0591   0.0860]  
Full_model    Without_LE    0.767  0.695  0.885  | [ 0.0476   0.0720   0.0980]  
Full_model    Without_LE    0.772  0.709  0.888  | [ 0.0394   0.0634   0.0900]  
Full_model    Without_LE    0.763  0.692  0.883  | [ 0.0471   0.0713   0.0998]  
Full_model    Without_LE    0.765  0.701  0.891  | [ 0.0405   0.0636   0.0897]  
Full_model    Without_LE    0.770  0.705  0.891  | [ 0.0413   0.0646   0.0918]  
Full_model    Without_LE    0.766  0.690  0.883  | [ 0.0517   0.0754   0.1035]  
Full_model    Without_LE    0.765  0.706  0.884  | [ 0.0347   0.0595   0.0871]  
Full_model    Without_LE    0.760  0.692  0.888  | [ 0.0454   0.0685   0.0962]  
Full_model    Without_LE    0.764  0.692  0.886  | [ 0.0483   0.0721   0.1015]  
Full_model    Without_LE    0.760  0.695  0.884  | [ 0.0413   0.0656   0.0929]  
Full_model    Without_LE    0.760  0.690  0.891  | [ 0.0461   0.0705   0.0972]  
Full_model    Without_LE    0.764  0.696  0.880  | [ 0.0457   0.0687   0.0962]  
Full_model    Without_LE    0.762  0.698  0.889  | [ 0.0409   0.0643   0.0922]  
Full_model    Without_LE    0.768  0.705  0.886  | [ 0.0408   0.0636   0.0881]  
Without_FC    Without_CNN   0.764  0.726  0.950  | [ 0.0224   0.0380   0.0605]  
Without_FC    Without_CNN   0.759  0.719  0.949  | [ 0.0247   0.0403   0.0622]  
Without_FC    Without_CNN   0.761  0.717  0.952  | [ 0.0286   0.0439   0.0636]  
Without_FC    Without_CNN   0.765  0.724  0.946  | [ 0.0258   0.0413   0.0614]  
Without_FC    Without_CNN   0.767  0.711  0.941  | [ 0.0378   0.0553   0.0794]  
Without_FC    Without_CNN   0.768  0.721  0.948  | [ 0.0303   0.0473   0.0687]  
Without_FC    Without_CNN   0.762  0.717  0.952  | [ 0.0292   0.0452   0.0681]  
Without_FC    Without_CNN   0.766  0.727  0.951  | [ 0.0228   0.0388   0.0592]  
Without_FC    Without_CNN   0.765  0.720  0.948  | [ 0.0292   0.0457   0.0682]  
Without_FC    Without_CNN   0.764  0.722  0.949  | [ 0.0256   0.0424   0.0649]  
Without_FC    Without_CNN   0.770  0.735  0.952  | [ 0.0199   0.0349   0.0567]  
Without_FC    Without_CNN   0.763  0.719  0.951  | [ 0.0279   0.0440   0.0656]  
Without_FC    Without_CNN   0.762  0.715  0.955  | [ 0.0315   0.0470   0.0673]  
Without_FC    Without_CNN   0.757  0.720  0.950  | [ 0.0210   0.0371   0.0588]  
Without_FC    Without_CNN   0.764  0.725  0.949  | [ 0.0238   0.0387   0.0599]  
Without_FC    Without_CNN   0.760  0.717  0.950  | [ 0.0270   0.0429   0.0639]  
Without_FC    Without_CNN   0.759  0.718  0.952  | [ 0.0244   0.0409   0.0628]  
Without_FC    Without_CNN   0.763  0.719  0.947  | [ 0.0260   0.0435   0.0653]  
Without_FC    Without_CNN   0.761  0.721  0.947  | [ 0.0235   0.0394   0.0623]  
Without_FC    Without_CNN   0.768  0.718  0.948  | [ 0.0344   0.0497   0.0709]  
Without_FC    Without_LE    0.764  0.697  0.890  | [ 0.0423   0.0665   0.0923]  
Without_FC    Without_LE    0.759  0.691  0.887  | [ 0.0431   0.0679   0.0950]  
Without_FC    Without_LE    0.761  0.702  0.891  | [ 0.0359   0.0593   0.0882]  
Without_FC    Without_LE    0.765  0.702  0.889  | [ 0.0394   0.0625   0.0885]  
Without_FC    Without_LE    0.767  0.702  0.888  | [ 0.0409   0.0644   0.0901]  
Without_FC    Without_LE    0.768  0.712  0.882  | [ 0.0331   0.0567   0.0828]  
Without_FC    Without_LE    0.762  0.695  0.883  | [ 0.0430   0.0668   0.0922]  
Without_FC    Without_LE    0.766  0.709  0.890  | [ 0.0340   0.0575   0.0839]  
Without_FC    Without_LE    0.765  0.692  0.882  | [ 0.0499   0.0734   0.1012]  
Without_FC    Without_LE    0.764  0.701  0.894  | [ 0.0406   0.0633   0.0888]  
Without_FC    Without_LE    0.770  0.705  0.894  | [ 0.0416   0.0646   0.0923]  
Without_FC    Without_LE    0.763  0.690  0.883  | [ 0.0487   0.0726   0.0989]  
Without_FC    Without_LE    0.762  0.706  0.886  | [ 0.0328   0.0562   0.0833]  
Without_FC    Without_LE    0.757  0.692  0.886  | [ 0.0404   0.0652   0.0928]  
Without_FC    Without_LE    0.764  0.692  0.879  | [ 0.0473   0.0719   0.1022]  
Without_FC    Without_LE    0.760  0.695  0.884  | [ 0.0407   0.0653   0.0923]  
Without_FC    Without_LE    0.759  0.690  0.889  | [ 0.0431   0.0688   0.0955]  
Without_FC    Without_LE    0.763  0.696  0.882  | [ 0.0423   0.0667   0.0937]  
Without_FC    Without_LE    0.761  0.698  0.894  | [ 0.0383   0.0625   0.0896]  
Without_FC    Without_LE    0.768  0.705  0.887  | [ 0.0388   0.0628   0.0884]  
Without_CNN   Without_LE    0.726  0.697  0.785  | [-0.0087   0.0285   0.0643]  
Without_CNN   Without_LE    0.719  0.691  0.775  | [-0.0103   0.0276   0.0646]  
Without_CNN   Without_LE    0.717  0.702  0.788  | [-0.0226   0.0154   0.0517]  
Without_CNN   Without_LE    0.724  0.702  0.785  | [-0.0134   0.0211   0.0562]  
Without_CNN   Without_LE    0.711  0.702  0.777  | [-0.0284   0.0090   0.0457]  
Without_CNN   Without_LE    0.721  0.712  0.780  | [-0.0255   0.0094   0.0436]  
Without_CNN   Without_LE    0.717  0.695  0.786  | [-0.0171   0.0217   0.0564]  
Without_CNN   Without_LE    0.727  0.709  0.786  | [-0.0165   0.0187   0.0545]  
Without_CNN   Without_LE    0.720  0.692  0.774  | [-0.0101   0.0277   0.0654]  
Without_CNN   Without_LE    0.722  0.701  0.781  | [-0.0153   0.0210   0.0566]  
Without_CNN   Without_LE    0.735  0.705  0.796  | [-0.0077   0.0296   0.0635]  
Without_CNN   Without_LE    0.719  0.690  0.780  | [-0.0088   0.0286   0.0648]  
Without_CNN   Without_LE    0.715  0.706  0.788  | [-0.0290   0.0092   0.0445]  
Without_CNN   Without_LE    0.720  0.692  0.781  | [-0.0073   0.0281   0.0664]  
Without_CNN   Without_LE    0.725  0.692  0.780  | [-0.0038   0.0332   0.0701]  
Without_CNN   Without_LE    0.717  0.695  0.774  | [-0.0151   0.0224   0.0583]  
Without_CNN   Without_LE    0.718  0.690  0.781  | [-0.0112   0.0279   0.0653]  
Without_CNN   Without_LE    0.719  0.696  0.778  | [-0.0146   0.0233   0.0587]  
Without_CNN   Without_LE    0.721  0.698  0.786  | [-0.0146   0.0230   0.0589]  
Without_CNN   Without_LE    0.718  0.705  0.778  | [-0.0234   0.0131   0.0472]  
