
Table 1 : anger Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 |    diff   p_value
Full model    Without CNN   0.762  0.711  0.942  |  0.0510   0.0001  
Full model    Without CNN   0.771  0.721  0.949  |  0.0497   0.0001  
Full model    Without CNN   0.767  0.717  0.949  |  0.0503   0.0001  
Full model    Without CNN   0.772  0.727  0.949  |  0.0447   0.0001  
Full model    Without CNN   0.763  0.720  0.948  |  0.0436   0.0001  
Full model    Without CNN   0.765  0.722  0.950  |  0.0426   0.0003  
Full model    Without CNN   0.770  0.735  0.954  |  0.0350   0.0002  
Full model    Without CNN   0.766  0.719  0.950  |  0.0467   0.0001  
Full model    Without CNN   0.765  0.715  0.956  |  0.0503   0.0001  
Full model    Without CNN   0.760  0.720  0.949  |  0.0404   0.0001  
Full model    Without CNN   0.764  0.725  0.948  |  0.0389   0.0001  
Full model    Without CNN   0.760  0.717  0.946  |  0.0433   0.0001  
Full model    Without CNN   0.760  0.718  0.952  |  0.0426   0.0001  
Full model    Without CNN   0.764  0.719  0.949  |  0.0455   0.0001  
Full model    Without CNN   0.762  0.721  0.947  |  0.0413   0.0001  
Full model    Without CNN   0.768  0.718  0.948  |  0.0505   0.0001  
Full model    Without LE    0.766  0.697  0.890  |  0.0690   0.0001  
Full model    Without LE    0.762  0.691  0.889  |  0.0706   0.0001  
Full model    Without LE    0.763  0.702  0.889  |  0.0609   0.0001  
Full model    Without LE    0.764  0.702  0.890  |  0.0611   0.0001  
Full model    Without LE    0.762  0.702  0.892  |  0.0600   0.0001  
Full model    Without LE    0.771  0.712  0.882  |  0.0591   0.0001  
Full model    Without LE    0.767  0.695  0.885  |  0.0720   0.0001  
Full model    Without LE    0.772  0.709  0.888  |  0.0634   0.0001  
Full model    Without LE    0.763  0.692  0.883  |  0.0713   0.0001  
Full model    Without LE    0.765  0.701  0.891  |  0.0636   0.0001  
Full model    Without LE    0.770  0.705  0.891  |  0.0646   0.0001  
Full model    Without LE    0.766  0.690  0.883  |  0.0754   0.0001  
Full model    Without LE    0.765  0.706  0.884  |  0.0595   0.0001  
Full model    Without LE    0.760  0.692  0.888  |  0.0685   0.0001  
Full model    Without LE    0.764  0.692  0.886  |  0.0721   0.0001  
Full model    Without LE    0.760  0.695  0.884  |  0.0656   0.0001  
Full model    Without LE    0.760  0.690  0.891  |  0.0705   0.0001  
Full model    Without LE    0.764  0.696  0.880  |  0.0687   0.0001  
Full model    Without LE    0.762  0.698  0.889  |  0.0643   0.0001  
Full model    Without LE    0.768  0.705  0.886  |  0.0636   0.0001  
Without FC    Without CNN   0.764  0.726  0.950  |  0.0380   0.0001  
Without FC    Without CNN   0.759  0.719  0.949  |  0.0403   0.0001  
Without FC    Without CNN   0.761  0.717  0.952  |  0.0439   0.0001  
Without FC    Without CNN   0.765  0.724  0.946  |  0.0413   0.0001  
Without FC    Without CNN   0.767  0.711  0.941  |  0.0553   0.0001  
Without FC    Without CNN   0.768  0.721  0.948  |  0.0473   0.0001  
Without FC    Without CNN   0.762  0.717  0.952  |  0.0452   0.0001  
Without FC    Without CNN   0.766  0.727  0.951  |  0.0388   0.0001  
Without FC    Without CNN   0.765  0.720  0.948  |  0.0457   0.0001  
Without FC    Without CNN   0.764  0.722  0.949  |  0.0424   0.0001  
Without FC    Without CNN   0.770  0.735  0.952  |  0.0349   0.0002  
Without FC    Without CNN   0.763  0.719  0.951  |  0.0440   0.0001  
Without FC    Without CNN   0.762  0.715  0.955  |  0.0470   0.0001  
Without FC    Without CNN   0.757  0.720  0.950  |  0.0371   0.0002  
Without FC    Without CNN   0.764  0.725  0.949  |  0.0387   0.0001  
Without FC    Without CNN   0.760  0.717  0.950  |  0.0429   0.0001  
Without FC    Without CNN   0.759  0.718  0.952  |  0.0409   0.0001  
Without FC    Without CNN   0.763  0.719  0.947  |  0.0435   0.0001  
Without FC    Without CNN   0.761  0.721  0.947  |  0.0394   0.0001  
Without FC    Without CNN   0.768  0.718  0.948  |  0.0497   0.0001  
Without FC    Without LE    0.764  0.697  0.890  |  0.0665   0.0001  
Without FC    Without LE    0.759  0.691  0.887  |  0.0679   0.0001  
Without FC    Without LE    0.761  0.702  0.891  |  0.0593   0.0001  
Without FC    Without LE    0.765  0.702  0.889  |  0.0625   0.0001  
Without FC    Without LE    0.767  0.702  0.888  |  0.0644   0.0001  
Without FC    Without LE    0.768  0.712  0.882  |  0.0567   0.0001  
Without FC    Without LE    0.762  0.695  0.883  |  0.0668   0.0001  
Without FC    Without LE    0.766  0.709  0.890  |  0.0575   0.0001  
Without FC    Without LE    0.765  0.692  0.882  |  0.0734   0.0001  
Without FC    Without LE    0.764  0.701  0.894  |  0.0633   0.0001  
Without FC    Without LE    0.770  0.705  0.894  |  0.0646   0.0001  
Without FC    Without LE    0.763  0.690  0.883  |  0.0726   0.0001  
Without FC    Without LE    0.762  0.706  0.886  |  0.0562   0.0001  
Without FC    Without LE    0.757  0.692  0.886  |  0.0652   0.0001  
Without FC    Without LE    0.764  0.692  0.879  |  0.0719   0.0001  
Without FC    Without LE    0.760  0.695  0.884  |  0.0653   0.0001  
Without FC    Without LE    0.759  0.690  0.889  |  0.0688   0.0001  
Without FC    Without LE    0.763  0.696  0.882  |  0.0667   0.0001  
Without FC    Without LE    0.761  0.698  0.894  |  0.0625   0.0001  
Without FC    Without LE    0.768  0.705  0.887  |  0.0628   0.0001  
Without CNN   Without LE    0.726  0.697  0.785  |  0.0285   0.1494  
Without CNN   Without LE    0.719  0.691  0.775  |  0.0276   0.1562  
Without CNN   Without LE    0.717  0.702  0.788  |  0.0154   0.4378  
Without CNN   Without LE    0.724  0.702  0.785  |  0.0211   0.2598  
Without CNN   Without LE    0.711  0.702  0.777  |  0.0090   0.6509  
Without CNN   Without LE    0.721  0.712  0.780  |  0.0094   0.6312  
Without CNN   Without LE    0.717  0.695  0.786  |  0.0217   0.2718  
Without CNN   Without LE    0.727  0.709  0.786  |  0.0187   0.3298  
Without CNN   Without LE    0.720  0.692  0.774  |  0.0277   0.1586  
Without CNN   Without LE    0.722  0.701  0.781  |  0.0210   0.2960  
Without CNN   Without LE    0.735  0.705  0.796  |  0.0296   0.1136  
Without CNN   Without LE    0.719  0.690  0.780  |  0.0286   0.1515  
Without CNN   Without LE    0.715  0.706  0.788  |  0.0092   0.6379  
Without CNN   Without LE    0.720  0.692  0.781  |  0.0281   0.1416  
Without CNN   Without LE    0.725  0.692  0.780  |  0.0332   0.0885  
Without CNN   Without LE    0.717  0.695  0.774  |  0.0224   0.2499  
Without CNN   Without LE    0.718  0.690  0.781  |  0.0279   0.1674  
Without CNN   Without LE    0.719  0.696  0.778  |  0.0233   0.2382  
Without CNN   Without LE    0.721  0.698  0.786  |  0.0230   0.2293  
Without CNN   Without LE    0.718  0.705  0.778  |  0.0131   0.4973  
